"cmid","archiveid","courseid","contextid","coursevisible","cmvisible","courseshortname","coursename","archivename"
"124","40","41","274","1","1","UCKK-KOA306","Infrastructure distribu├®e et Kristal Farms","Archive du cours"
"175","57","58","325","1","1","UCKK-SP205","Institutions politiques et Grand Jeu social","Archive du cours"
"50","15","16","200","1","1","UCKK-GJS105","Intelligence collective et assembl├®es","Archive du cours"
"169","55","56","319","1","1","UCKK-SP203","Intelligence collective, expertise situ├®e et d├®cision l├®gitime","Archive du cours"
"11","2","3","161","1","1","UCKK-TC102","Intelligence collective, expertise situ├®e et d├®cision l├®gitime","Archive du tronc commun"
"26","7","8","176","1","1","UCKK-TC107","Introduction ├á kOA : connaissance, d├®cision, action, m├®moire","Archive du tronc commun"
"61","19","20","211","1","1","UCKK-KOA101","Introduction ├á lÔÇÖ├®cosyst├¿me digital kOA","Archive du cours"
"88","28","29","238","1","1","UCKK-KOA205","Konnaxion : espace public de contribution et collaboration","Archive du cours"
"76","24","25","226","1","1","UCKK-KOA201","Kristals : connaissance v├®rifiable et artefacts s├®mantiques","Archive du cours"
"142","46","47","292","1","1","UCKK-AS202","Kristals : connaissance v├®rifiable et artefacts s├®mantiques","Archive du cours"
"307","103","104","457","1","1","UCKK-LI201","Kristals : connaissance v├®rifiable et artefacts s├®mantiques","Archive du cours"
"271","91","92","421","1","1","UCKK-IA205","Kristals et connaissance v├®rifiable","Archive du cours"
"183","60","61","333","1","1","UCKK-SP251","Le Bouffon, le Roi et la critique symbolique du pouvoir","Archive du s├®minaire"
"234","78","79","384","1","1","UCKK-ME203","Le Bouffon, le Roi et la critique symbolique du pouvoir","Archive du s├®minaire"
"328","111","112","478","1","1","UCKK-MV201","Le Bouffon, le Roi et la critique symbolique du pouvoir","Archive du s├®minaire"
"317","107","108","467","1","1","UCKK-LI305","Logos, donn├®es s├®mantiques et architecture du sens","Archive du s├®minaire"
"339","115","116","491","0","1","UCKK-MEDIA-CENTRALE","M├®diath├¿que centrale UCKK","Registraire ÔÇö M├®diath├¿que centrale"
"109","35","36","259","1","1","UCKK-KOA301","M├®moire institutionnelle et apprentissage r├®utilisable","Archive du cours"
"229","76","77","379","1","1","UCKK-ME201","M├®taphysique comme science future","Archive du s├®minaire"
"127","41","42","277","1","1","UCKK-KOA307","Mimic vs Annex : int├®gration sans contamination","Archive du cours"
"186","61","62","336","1","1","UCKK-SP252","Mobilisation multi-corridor et coop├®ration pratique","Archive du cours"
"334","113","114","484","1","1","UCKK-MV203","Mobilisation multi-corridor et coop├®ration pratique","Archive du cours"
"23","6","7","173","1","1","UCKK-TC106","Mobilisation multi-corridor et coop├®ration pratique","Archive du tronc commun"
"192","63","64","342","1","1","UCKK-SP254","Non-domination, transparence et vie priv├®e","Archive du cours"
"100","32","33","250","1","1","UCKK-KOA209","Orgo : t├óches, cases, responsabilit├®s et ex├®cution gouvern├®e","Archive du cours"
"253","85","86","403","1","1","UCKK-IA104","Pens├®e critique face aux sorties g├®n├®r├®es","Archive du cours"
"44","13","14","194","1","1","UCKK-GJS103","Performance strat├®gique","Archive du cours"
"67","21","22","217","1","1","UCKK-KOA103","Plateformes, r├┤les, permissions et gouvernance","Archive du cours"
"163","53","54","313","1","1","UCKK-SP201","Pouvoirs diffus : ├ëtat, m├®dias, r├®seaux, code et religion","Archive du cours"
"136","44","45","286","1","1","UCKK-KOA399","Projet int├®grateur : d├®ployer un mini-├®cosyst├¿me kOA","Archive du cours"
"250","84","85","400","1","1","UCKK-IA103","Prompting, contraintes et points dÔÇÖancrage","Archive du cours"
"227","75","76","377","1","1","UCKK-ECO207","Prototypes de transition","Archive du cours"
"85","27","28","235","1","1","UCKK-KOA204","Provenance, preuve, contexte et tra├ºabilit├®","Archive du cours"
"181","59","60","331","1","1","UCKK-SP207","R├®forme des r├¿gles du jeu","Archive du cours"
"139","45","46","289","1","1","UCKK-AS201","R├®silience et efficacit├® des syst├¿mes sociotechniques","Archive du cours"
"118","38","39","268","1","1","UCKK-KOA304","R├®silience hors ligne, fail-closed integrity et souverainet├® num├®rique","Archive du cours"
"41","12","13","191","1","1","UCKK-GJS102","Rouages de la soci├®t├®","Archive du cours"
"112","36","37","262","1","1","UCKK-KOA302","Runtime Packs, Kristal Exchange et distribution hors ligne","Archive du cours"
"121","39","40","271","1","1","UCKK-KOA305","S├®curit├®, auditabilit├® et non-domination","Archive du cours"
"292","98","99","442","1","1","UCKK-IA304","S├®curit├®, vie priv├®e et non-domination algorithmique","Archive du cours"
"79","25","26","229","1","1","UCKK-KOA202","SemantiK Architect : architecture du sens","Archive du cours"
"70","22","23","220","1","1","UCKK-KOA104","S├®mantique, graphes de connaissance et sens structur├®","Archive du cours"
"82","26","27","232","1","1","UCKK-KOA203","SenTient : ambigu├»t├®, propositions incertaines et validation","Archive du cours"
"97","31","32","247","1","1","UCKK-KOA208","Smart Vote : lectures brutes, pond├®r├®es et comparables","Archive du cours"
"166","54","55","316","1","1","UCKK-SP202","SmartVote, EkoH et gouvernance pond├®r├®e","Archive du cours"
"198","65","66","348","1","1","UCKK-EC201","Soci├®t├® des flux : argent, information et pouvoir","Archive du cours"
"17","4","5","167","1","1","UCKK-TC104","Soci├®t├® des flux : argent, information et pouvoir","Archive du tronc commun"
"106","34","35","256","1","1","UCKK-KOA211","SwarmCraft : coordination distribu├®e humains-agents-outils","Archive du cours"
"154","50","51","304","1","1","UCKK-AS206","Syst├¿mes dÔÇÖexploitation sociotechniques","Archive du cours"
"145","47","48","295","1","1","UCKK-AS203","Syst├¿mes d├®terministes et IA g├®n├®rative","Archive du cours"
"268","90","91","418","1","1","UCKK-IA204","Syst├¿mes d├®terministes et IA g├®n├®rative","Archive du cours"
"64","20","21","214","1","1","UCKK-KOA102","Syst├¿mes sociotechniques et Grand Jeu num├®rique","Archive du cours"
"212","70","71","362","1","1","UCKK-ECO202","Territoires et ressources","Archive du cours"
"280","94","95","430","1","1","UCKK-IA208","Tests, logs, validation et audit de sorties IA","Archive du cours"
"53","16","17","203","1","1","UCKK-GJS106","Th├®├ótre public et m├®dias vivants","Archive du cours"
"337","114","115","487","1","1","UCKK-MV204","Th├®├ótre public, satire et responsabilit├®","Archive du cours"
"241","81","82","391","1","1","UCKK-ME307","Th├®orie de ¤Ç : herm├®neutique math├®matique et cosmogonie symbolique","Archive du s├®minaire"
"103","33","34","253","1","1","UCKK-KOA210","Workflows, gates, escalades et cl├┤ture","Archive du cours"
